time,X_value,Y_value,Z_value
0.0084,0.23703,5.66246,8.95698
0.0542,-0.61054,5.46374,8.88755
0.0936,0.05746,5.68161,7.75745
0.1328,0.29928,5.59781,7.98251
0.1729,-0.10295,5.61697,8.08307
0.2132,0.11253,5.49725,8.28898
0.2530,0.31844,5.66246,7.78139
0.2934,-0.23703,5.57387,8.24349
0.3334,0.63448,5.37994,8.71995
0.3749,0.23464,5.52359,8.18124
0.4145,-0.75420,6.25145,6.75185
0.4531,-0.01915,6.17723,7.38634
0.4933,-1.25221,6.14610,8.01364
0.5328,-1.99683,6.63214,7.13973
0.5736,-1.08461,6.80213,6.46454
0.6140,-1.19953,6.56510,7.11339
0.6526,-1.86035,6.38793,7.46056
0.6928,-1.42459,6.25385,7.31930
0.7327,-1.18038,6.21793,6.95297
0.7729,-0.85476,6.11498,7.06072
0.8133,-0.80687,6.28497,6.63932
0.8528,-0.85954,6.42863,6.40947
0.8926,-0.97447,6.18920,6.74946
0.9328,-1.15165,6.23709,6.20117
0.9727,-0.73025,6.14610,5.87555
1.0158,-0.75420,6.06230,6.03836
1.0535,-0.72307,6.21793,6.06709
1.0932,-0.68955,6.11019,6.26103
1.1336,-0.45012,5.77739,6.58426
1.1731,-0.74701,5.98569,5.45176
1.2170,-0.52913,6.47891,4.18998
1.2536,-0.45012,6.15089,4.77179
1.2934,-1.04630,5.66007,4.77179
1.3324,-0.66561,6.21554,4.30012
1.3731,-2.19076,4.97291,4.56588
1.4139,-1.10855,4.40547,4.98967
1.4537,-0.19394,4.18040,4.78137
1.4932,-0.27774,3.30410,3.33283
1.5327,1.48924,3.69197,3.36635
1.5738,-0.11493,3.96252,3.62254
1.6154,-2.58342,4.67362,9.95300
1.6536,-1.63050,6.37595,9.95539
1.6936,-0.24900,7.15649,8.64333
1.7365,-3.69915,10.11581,12.52685
1.7728,3.21551,13.40315,15.36167
1.8133,-0.53871,15.89798,11.58590
1.8533,-3.32804,11.48534,23.04729
1.8933,-6.72073,11.67927,24.04091
1.9328,-7.19480,11.33689,-2.09978
1.9726,-2.97848,7.12057,-1.50121
2.0125,-6.46933,5.50444,-6.41187
2.0535,0.35196,1.62092,-5.36318
2.0931,-2.59061,1.32403,-1.70472
2.1351,0.75659,4.46053,-9.83808
2.1731,3.00003,9.41668,-13.66891
2.2132,2.59539,14.01369,-7.89392
2.2567,4.33603,10.15891,-10.25707
2.2933,0.21070,6.71355,-13.15175
2.3338,-0.23703,6.64411,-5.66007
2.3732,-3.15087,8.26264,-5.83724
2.4126,-1.02714,8.88994,-1.50121
2.4532,2.54511,10.98014,1.73106
2.4934,4.96573,9.72554,-2.15724
2.5337,2.40385,7.77660,-3.22988
2.5737,1.86993,7.37197,-3.96731
2.6132,1.97288,8.01603,-4.80770
2.6534,1.80289,8.81572,-5.52599
2.6930,1.60416,8.47813,-6.51722
2.7327,2.20273,8.16927,-5.59542
2.7733,1.43896,8.47573,-4.76940
2.8126,1.98485,8.50207,-4.01999
2.8535,4.26181,7.17085,-5.13333
2.8926,0.33999,7.77660,-4.04632
2.9328,4.11815,8.42066,-3.32565
2.9735,1.40305,8.43982,-5.94738
3.0137,-0.27774,8.22912,-7.19958
3.0526,1.10376,8.64094,-6.10061
3.0929,0.16760,8.49010,-5.53317
3.1325,0.35196,8.73431,-6.79735
3.1728,0.52195,8.63136,-5.51162
3.2124,0.04070,9.58189,-8.18603
3.2530,1.53473,9.78540,-8.46376
3.2931,0.25379,9.71597,-4.71193
3.3326,-2.60976,9.32091,-6.63214
3.3732,-2.44695,8.69601,-4.30969
3.4135,-4.84601,8.15969,-1.15883
3.4523,-3.25382,7.47732,-2.69835
3.4945,1.02236,6.35201,-0.38787
3.5331,-1.65205,5.66964,3.85239
3.5745,-1.54431,4.61377,7.58267
3.6147,-7.33845,4.82446,7.98251
3.6554,-6.99607,4.18280,11.83011
3.6937,-4.68799,4.46772,8.82051
3.7336,-5.89231,4.47251,10.22834
3.7746,-4.99446,3.94098,8.69361
3.8128,-3.75662,3.96971,7.21634
3.8533,-5.64091,3.52437,8.43982
3.8953,-4.14449,4.54912,6.59144
3.9417,0.77575,5.62655,7.59703
3.9882,0.18436,5.25783,7.58985
4.0282,0.28731,5.52359,7.18282
4.0692,0.07422,5.28656,7.69041
4.1082,-0.15802,4.90347,7.20198
4.1481,0.44055,5.03037,6.64651
4.1888,0.11253,4.68799,6.73749
4.2301,0.30407,4.70236,6.46694
4.2680,0.38548,4.68799,6.25385
4.3078,0.30168,4.73109,6.34722
4.3501,0.55547,4.59461,7.57309
4.3883,0.02155,4.33603,6.94579
4.4284,0.38787,4.11336,5.89949
4.4682,-0.36154,3.45254,6.04554
4.5082,-0.38069,3.33283,3.81408
4.5486,1.31446,3.81169,3.98407
4.5894,0.40463,3.14608,5.76781
4.6298,-1.09658,3.25143,5.41106
4.6682,-0.79011,2.21470,5.29374
4.7088,0.13887,2.38230,6.22511
4.7499,-1.30249,1.42220,5.78457
4.7879,5.82288,3.00481,6.03357
4.8287,4.93221,5.48289,6.40229
4.8710,9.05275,6.48848,12.61543
4.9081,1.98725,7.02959,21.14384
4.9488,3.43339,13.58751,20.74400
4.9889,-6.05033,13.53484,23.96190
5.0285,-14.41593,11.44463,9.85484
5.0679,-6.00724,6.88833,-1.37910
5.1091,-2.49244,0.90264,-7.00325
5.1488,-3.24424,-0.39266,-13.94905
5.1882,1.09658,2.46850,-11.08549
5.2279,-4.88432,1.29770,-9.11500
5.2678,-5.36557,1.24502,-8.58826
5.3101,-0.98165,-1.13010,-14.62184
5.3485,-1.76937,-3.67282,-11.02085
5.3895,-1.63768,-5.47331,-18.60591
5.4280,-1.65205,-5.99048,-9.95539
5.4683,3.24664,2.59300,-10.48932
5.5087,2.54033,4.70236,-5.53077
5.5484,1.65205,4.45814,-11.55716
5.5895,3.00481,6.17244,-9.98652
5.6338,2.60976,6.80692,-3.06228
5.6698,3.41663,6.99847,-5.00403
5.7087,3.57944,6.58665,-7.47014
5.7489,1.49163,7.63534,-0.50998
5.7877,2.26020,7.98251,-3.29452
5.8284,2.77975,7.93702,-4.84122
5.8685,4.23068,7.45098,-5.80851
5.9084,2.74623,8.30095,-6.12934
5.9480,3.37353,8.21715,-6.28018
5.9887,2.90665,7.56351,-6.82608
6.0286,3.01200,8.07349,-3.20833
6.0679,4.65926,8.05195,-6.84523
6.1091,1.37671,6.95297,5.85879
6.1544,-0.51477,6.68482,7.13973
6.1961,2.04471,7.81012,6.47891
6.2344,1.40065,7.75506,6.00005
6.2761,0.31126,7.34563,6.57947
6.3145,1.45572,7.44141,6.74467
6.3543,0.47167,7.22592,5.93062
6.3949,2.29850,7.02001,6.11498
6.4353,0.32083,6.99368,5.93062
6.4741,0.56265,6.89072,6.03836
6.5167,0.36872,6.53398,7.51323
6.5546,0.11014,7.42704,3.45015
6.5948,0.35196,8.48052,2.77018
6.6352,0.22027,6.85960,5.46613
6.6752,-0.17718,7.24986,3.31128
6.7147,1.53952,6.97692,1.50121
6.7547,0.96250,5.11657,5.68880
6.7947,-1.30009,4.16125,0.38308
6.8365,-1.37431,1.56107,0.79490
6.8744,-2.08302,0.46449,-0.34478
6.9155,2.55230,-0.00239,2.73187
6.9558,0.18675,1.69275,0.78532
6.9956,0.21548,1.83880,-0.26337
7.0350,0.73504,3.70873,0.45970
7.0751,5.58105,8.54038,-0.07901
7.1144,-6.18920,12.16292,-12.36403
7.1553,7.96815,15.31857,-1.57783
7.1963,12.45981,19.14702,-9.46936
7.2350,18.57957,36.80240,-11.18845
7.2755,8.22912,2.55948,-20.29866
7.3150,7.53718,-23.11193,-2.28893
7.3547,-6.98171,-17.45666,-34.83430
7.3945,0.68237,-13.08950,-18.82379
7.4350,-5.70316,-10.26186,-19.82938
7.4743,5.98090,-7.63534,-8.05434
7.5160,1.62811,4.75264,8.73192
7.5549,-3.65845,9.65372,-12.41192
7.5954,9.27542,-3.38072,-5.47810
7.6349,-0.35435,-2.17161,-21.18933
7.6745,10.36482,-3.12932,-4.01520
7.7178,-4.27139,4.35997,-2.46131
7.7543,6.06470,2.20273,-4.27857
7.7947,2.65286,4.14449,-2.89468
7.8364,-1.62092,5.92583,-17.20526
7.8745,3.96731,2.51399,-18.12227
7.9145,-1.97049,3.53634,-8.15251
7.9548,6.43820,2.28653,-4.75982
7.9948,3.05509,9.70639,-10.42467
8.0353,7.44141,4.70475,0.39745
8.0761,-6.80932,10.75748,-11.40872
8.1151,3.77817,7.74787,-5.50444
8.1671,1.23305,8.45179,4.99446
8.2040,1.39826,8.58587,4.55870
8.2441,1.09179,8.42066,5.34163
8.2838,1.26657,8.60263,4.23547
8.3237,0.98405,8.90191,3.47888
8.3652,1.22587,8.45658,4.10139
8.4037,1.42459,8.15251,4.62813
8.4435,1.06785,7.67844,4.12294
8.4843,1.10137,7.57070,3.72549
8.5249,0.46928,7.23310,3.71591
8.5638,1.52036,6.90988,2.50681
8.6043,1.53952,7.36239,1.64726
8.6453,1.30967,8.16208,2.96411
8.6841,0.13647,7.04156,3.10777
8.7241,0.49561,6.79735,3.65127
8.7637,0.56265,7.54915,2.65525
8.8044,-1.11813,7.58027,1.18995
8.8443,-0.30647,7.82449,2.32245
8.8847,0.11014,6.83326,4.33843
8.9255,-2.87313,8.14772,1.22587
8.9646,1.96331,8.29616,2.58821
9.0045,1.86035,4.75024,1.34319
9.0448,-2.61934,6.78059,-2.58582
9.0913,-3.06946,5.19079,-8.26743
9.1239,-0.25619,8.07349,0.39745
9.1645,3.09101,13.39118,-6.06949
9.2044,5.85161,13.80539,-3.67042
9.2435,-4.47251,13.51329,5.63373
9.2845,-3.94816,13.36484,-2.64089
9.3248,-9.19641,8.38715,4.00323
9.3647,-3.69676,3.43339,14.98098
9.4048,4.53236,7.04875,9.28979
9.4459,3.28255,5.54993,8.35602
9.4841,7.09184,4.55870,5.85640
9.5236,4.34321,1.77655,3.40466
9.5653,6.94100,-2.10696,4.61377
9.6041,8.68882,-1.13249,8.94022
9.6447,4.07506,-3.05270,-2.60018
9.6879,3.91464,-6.58186,31.26923
9.7276,9.66329,-3.10298,13.78384
9.7638,-13.41991,2.88750,0.29210
9.8057,1.58740,5.61457,13.16372
9.8457,-7.23550,2.27935,11.40872
9.8872,-1.13249,3.61775,8.18603
9.9243,4.42223,6.43581,10.80776
9.9648,0.67758,-0.24182,12.77346
10.0044,3.17481,0.16520,9.27063
10.0458,4.29772,-4.83883,9.73273
10.0842,6.51003,5.15727,6.66087
10.1246,5.38233,-2.71750,6.31849
10.1653,3.40226,0.16999,6.84763
10.2048,10.84367,-4.54912,0.97686
10.2449,4.63053,-0.62730,7.29296
10.2837,10.03919,-2.30569,5.19079
10.3244,11.65294,-0.65603,8.18603
10.3697,8.02082,0.79490,1.94176
10.4053,8.08547,0.06465,4.24265
10.4439,7.71196,0.71349,3.51480
10.4844,8.57869,-1.58262,1.88908
10.5243,8.46376,-1.84838,4.30730
10.5648,5.95935,-1.74064,4.04872
10.6044,7.22832,-1.63529,2.49962
10.6443,8.75586,-2.27935,7.09663
10.6835,9.79737,-2.71750,7.85322
10.7248,7.95378,-2.84679,5.29614
10.7643,8.59066,-2.10696,5.28416
10.8062,7.95618,-1.99443,6.36159
10.8451,8.34884,-1.17798,5.08065
10.8844,7.48929,-0.81405,5.49486
10.9250,7.07029,-1.13249,5.91386
10.9639,7.47014,-1.24263,5.00643
11.0056,8.16927,-1.95373,6.36159
11.0438,8.05674,-1.93936,5.60739
11.0855,8.61460,-1.96809,6.59623
11.1183,0.59857,2.79891,8.53080
11.1625,-0.30168,2.25301,2.22189
11.2015,0.26098,0.38069,-0.22746
11.2415,0.02634,-0.02873,0.04549
11.2818,0.02394,-0.04549,0.07901
11.3213,0.04070,-0.04070,0.07901
11.3615,0.02634,-0.06943,0.13169
11.4034,0.02873,-0.04070,0.19633
11.4416,0.01915,-0.03831,0.27055
11.4820,0.02634,-0.03113,0.32083
11.5222,0.01437,-0.04070,0.45012
11.5615,-2.62891,39.63483,17.04005
11.6023,0.12929,-7.20437,-0.64645
11.6414,0.63688,-0.44773,-1.37431
11.6820,-0.03113,-0.31604,-0.05746
11.7216,-0.02634,-0.28731,0.04310
11.7624,-0.03113,-0.28252,0.04789
11.8033,0.11493,2.11893,-1.32403
11.8415,-2.56427,-4.31688,-1.71670
11.8817,-3.88351,-13.62342,42.04586
11.9230,1.22587,-3.09101,-2.02795
11.9621,0.19872,1.59459,2.30808
12.0020,-2.91383,-1.86753,26.38251
12.0422,-0.24661,-0.62730,5.14290
12.0816,-0.78053,-1.82923,11.26506
12.1221,-0.44773,-0.60575,8.86839
12.1622,-0.66561,-1.02714,9.78540
12.2014,-0.67997,-1.06066,9.75188
12.2419,-0.64406,-1.04390,9.81174
12.2819,-0.66561,-1.04151,9.77104
12.3232,-0.57463,-0.47885,9.77582
12.3632,-0.21788,0.83560,9.22035
12.3815,-1.29051,8.22673,5.19079
12.4307,-0.88588,7.54915,6.64651
12.4618,-0.95053,8.04716,6.16047
12.5005,-1.21150,7.78618,6.22272
12.5401,-1.39107,7.14930,5.09023
12.5808,-1.94894,6.72073,5.57866
12.6205,-0.94574,6.90748,4.83404
12.6608,-0.52435,6.76383,4.31209
12.7006,-1.17080,5.58105,5.01840
12.7413,-0.52435,4.90826,4.51560
12.7805,-0.84518,4.22829,4.45096
12.8202,-2.02795,3.47170,4.45335
12.8606,0.21788,5.12375,1.70951
12.9016,-0.62730,3.88112,4.13970
12.9414,-1.20193,3.97210,3.88351
12.9808,2.98327,4.32167,3.39508
13.0199,3.39748,4.84601,0.86194
13.0612,4.05590,4.24744,1.41262
13.1001,2.25780,5.77978,2.33921
13.1410,4.13491,10.29778,-0.11971
13.1807,0.92898,10.23792,13.04401
13.2199,-0.68476,14.09031,2.47089
13.2601,0.13169,13.63779,8.11659
13.3005,-2.90665,20.33937,11.19323
13.3406,-1.48684,18.29226,1.96331
13.3802,-7.80294,24.74004,6.55074
13.4203,-11.31534,21.25398,7.84843
13.4605,6.50764,5.49725,-4.79573
13.5005,2.24104,-2.00401,-0.79729
13.5404,2.05668,1.49882,-6.62496
13.5799,9.07191,-0.53392,-7.26184
13.6207,1.99683,10.27383,-11.03521
13.6630,7.47732,3.18917,-6.05033
13.6999,9.39035,4.38152,-12.84289
13.7415,8.58587,1.62811,-8.80375
13.7829,7.93702,2.25301,-12.67529
13.8203,5.63373,0.37111,-9.14852
13.8604,5.72471,1.51318,-13.28823
13.9008,7.44619,1.63768,-7.29057
13.9401,6.91467,1.84599,-3.81647
13.9804,8.62418,3.07185,-3.03833
14.0210,5.89949,2.90186,-3.20115
14.0675,8.46137,3.05270,-3.71113
14.1000,7.97533,2.58103,-3.73986
14.1408,8.21955,2.86355,-6.41666
14.1802,9.62020,2.26498,-6.57468
14.2272,6.99607,2.89947,-6.20117
14.2679,8.76783,3.49325,-6.34483
14.2817,1.42699,8.08786,3.77817
14.3320,0.88349,8.27701,3.78295
14.3590,0.88588,8.63136,3.35917
14.3990,0.79250,8.95219,2.78694
14.4397,0.61533,8.74629,3.86436
14.4794,0.89785,8.98332,2.90665
14.5212,0.82124,8.97374,2.47568
14.5740,1.14207,8.12138,2.66004
14.6130,0.63448,8.30574,1.77416
14.6544,0.23464,7.58027,1.39586
14.6938,0.76377,6.66327,2.32484
14.7319,1.09897,5.98808,0.63688
14.7728,-0.83800,4.18759,0.98644
14.8125,4.32167,4.98727,-3.18917
14.8519,-1.58980,2.72947,0.27774
14.8942,0.07422,2.82764,-3.27297
14.9323,-0.04549,2.68877,-9.18683
14.9725,2.05189,4.08224,-0.49561
15.0140,-0.93856,14.48297,-1.98964
15.0536,-3.85478,14.88999,-7.77182
15.0924,-2.39667,14.61226,-4.98967
15.1326,-2.75342,8.87558,-0.52195
15.1724,-1.46290,3.00242,3.65366
15.2123,-2.54511,2.34400,2.00401
15.2524,-3.20833,-1.16362,5.73189
15.2931,-2.79172,0.21309,8.37517
15.3319,-9.82371,-1.90105,39.17273
15.3716,3.64887,12.25629,33.85744
15.4145,4.20674,8.17884,6.52919
15.4526,-0.70392,5.15727,17.50694
15.4927,-3.07425,4.70954,14.75352
15.5339,0.39266,2.10696,6.51722
15.5729,-1.77655,1.70472,6.66087
15.6127,-0.50998,1.84599,9.58907
15.6530,-3.01679,4.55870,4.30491
15.6923,1.91303,3.05270,9.63217
15.7331,-2.06386,2.94017,11.75350
15.7731,-2.28414,4.61377,4.70954
15.8127,-0.52435,2.35597,11.09986
15.8531,-2.35597,5.10938,3.74225
15.8923,-1.23066,2.78215,12.09588
15.9337,-1.56346,4.94897,7.83886
15.9633,0.49801,7.10142,3.84760
16.0092,-0.13408,7.35042,3.21072
16.0492,-0.22985,6.65848,4.49884
16.0901,0.91461,7.11100,3.50282
16.1306,2.54272,6.63693,3.53156
16.1634,2.31287,5.04234,2.66722
16.2036,0.24422,4.58743,2.10696
16.2439,-0.94095,5.06150,-1.76219
16.2828,1.01757,6.79495,-2.33921
16.3232,0.77575,5.32487,2.43737
16.3637,0.18436,4.47729,-1.18038
16.4038,-0.38308,2.84440,2.19794
16.4428,0.63448,4.46053,4.36476
16.4824,-1.69994,7.47253,0.66321
16.5225,0.67758,7.83167,3.11974
16.5623,7.93942,9.76385,4.16125
16.6102,2.08302,3.37593,17.09991
16.6500,10.64973,3.98647,20.33937
16.6899,13.30259,2.24344,27.46233
16.7301,-19.72643,18.28268,15.31618
16.7705,0.30647,9.34485,9.72794
16.8107,-11.84927,15.75193,-1.96809
16.8503,-20.42316,18.20128,-7.69759
16.8899,-14.72000,11.31295,-12.00968
16.9314,-5.48049,-5.13093,3.25621
16.9753,-18.34733,1.81247,9.24190
17.0107,-8.84685,5.15008,2.11175
17.0500,-3.60817,1.32643,3.06707
17.0821,-9.03839,-1.52755,8.12377
17.1298,-9.35204,3.31607,0.34238
17.1697,-6.93382,3.86197,1.96570
17.2025,-6.94819,4.27378,0.81884
17.2498,-5.88752,4.60658,2.03753
17.2892,-8.87558,6.62256,-2.41103
17.3299,-8.66727,4.39110,2.25301
17.3708,-12.66332,6.72312,-3.35917
17.4108,-6.17723,6.15089,5.53317
17.4367,2.34639,7.82688,4.67362
17.4761,0.41660,6.93861,4.73109
17.5160,1.68318,6.32089,5.47092
17.5556,3.55310,6.16047,4.15167
17.5959,1.77895,5.17163,5.72711
17.6494,0.61054,4.49166,5.44698
17.6908,1.44614,4.49166,3.34720
17.7302,0.22746,5.79654,1.58022
17.7701,0.19633,5.38233,2.20752
17.8094,-0.27774,5.80612,2.73666
17.8499,-0.96010,5.68640,2.70314
17.8907,-2.49723,5.90668,0.67997
17.9289,-3.56029,5.50444,-0.00239
17.9687,0.22746,3.39748,0.99602
18.0086,-4.53476,3.57705,-1.64008
18.0496,5.91386,6.64651,-13.00809
18.0895,-4.41265,5.87316,-1.49163
18.1319,2.57385,6.72791,-14.43269
18.1704,-8.80135,8.06871,-2.11414
18.2092,-14.65057,6.24427,8.88037
18.2499,-27.72570,12.30897,12.29700
18.2895,-19.38644,14.88999,-3.53395
18.3299,-7.69041,2.59779,14.99774
18.3687,-15.17491,2.21470,3.10537
18.4097,-24.94356,-2.38470,19.23082
18.4508,-29.01861,11.31295,-1.41262
18.4898,8.18363,-3.48846,18.77830
18.5300,-7.78858,0.85236,3.96971
18.5688,-10.13018,3.89309,0.92658
18.6088,-0.97926,0.36872,11.89955
18.6506,-8.20518,5.09502,1.34798
18.6899,-4.16364,2.64807,0.90504
18.7287,-7.48690,4.05590,7.23071
18.7703,-2.54033,2.77736,6.15807
18.8093,-12.03363,5.60979,0.47167
18.8494,-9.93624,5.11657,-4.80052
18.8897,-12.47178,4.57785,4.28815
18.9309,1.29530,6.81650,8.48770
18.9794,0.29928,6.65848,10.70959
19.0099,-0.03352,5.72471,11.18605
19.0504,0.64406,5.56908,10.48692
19.0922,1.47008,4.66884,3.98407
19.1378,0.46449,0.59378,1.24981
19.1700,0.48125,0.34717,0.37590
19.2174,0.64406,-0.84278,0.01197
19.2571,0.62730,-0.84997,-0.00958
19.2988,0.61772,-0.84757,-0.02155
19.3386,0.64885,-0.85236,-0.07183
19.3780,0.70871,-0.89306,-0.16281
19.4175,0.84278,-0.93137,-0.31365
19.4589,0.90025,-0.93377,-0.45012
19.4974,0.91940,-0.92180,-0.56744
19.5377,0.85476,-0.89546,-0.88828
19.5783,-73.71494,-45.82163,-78.36222
19.6176,0.04789,-1.33122,-0.11971
19.6582,-0.26816,-1.22108,0.20830
19.6983,-0.01437,-1.04630,0.14605
19.7303,-0.19872,-0.17957,0.40703
19.7706,9.27063,18.04804,-0.96250
19.8102,3.07904,7.34324,-0.79969
19.8505,2.34160,5.44937,-0.31604
19.8914,4.38392,10.10863,-0.12211
19.9302,2.15006,4.79573,0.01915
19.9708,1.62092,3.56986,0.07901
20.0109,0.22746,-0.39506,1.07982
20.0586,-3.94337,-7.26902,17.63862
20.0973,2.94735,0.00239,6.79016
20.1383,1.03193,0.35914,1.47008
20.1779,-0.08380,-0.15323,4.04393
20.2177,-1.13967,-0.48843,9.49330
20.2585,1.11813,0.21070,8.37517
20.2981,-0.56744,-0.20591,9.91709
20.3383,-0.43336,-0.39506,10.09426
20.3785,0.02155,-0.10535,9.31133
20.4173,1.31446,-0.16999,7.14452
20.4580,-0.65364,0.09098,8.50925
20.4998,-2.91383,-0.42139,10.26186
20.5381,-2.29611,-2.64567,9.60822
20.5783,3.79014,-0.20351,8.87558
20.6105,-4.27857,-4.81489,10.12539
20.6572,-2.86834,0.62012,14.96661
20.6985,-5.14530,-3.95774,14.85169
20.7312,10.01765,-2.56666,18.82618
20.7776,6.24666,-3.94816,12.96500
20.8187,7.64492,-0.97447,12.85965
20.8580,0.00958,-2.71271,8.72953
20.8989,5.26022,1.73824,2.04232
20.9377,0.14605,3.32086,3.23706
20.9781,2.85158,2.33202,6.23469
21.0185,-2.15724,4.93699,15.56039
21.0575,4.30969,-0.12690,7.43422
21.0980,0.91940,1.72627,9.62020
21.1375,1.26418,1.13489,7.99688
21.1778,-1.39826,0.32323,7.89632
21.2193,0.14366,0.67279,10.66410
21.2589,0.01197,-0.21070,9.01684
21.2974,-0.42858,-0.38069,8.98811
21.3374,-0.13647,-0.11732,10.83888
21.3779,1.09418,0.39745,8.26025
21.4173,0.26576,1.82444,7.77182
21.4573,0.20830,1.73585,7.40070
21.4982,-0.23943,1.98964,7.85801
21.5389,-0.03591,2.09260,9.42147
21.5788,0.06465,2.03513,9.60583
21.6173,-0.56505,2.85398,9.40711
21.6574,-0.57223,2.03274,9.40950
21.6973,-1.19474,2.09499,8.74150
21.7384,-0.10774,2.94017,9.95061
21.7779,-0.24661,4.85559,10.82691
21.8255,-0.28731,5.13333,9.24669
21.8649,0.00239,4.71672,6.86917
21.8977,1.98007,4.41983,9.82131
21.9374,2.43498,3.42381,8.45897
21.9785,3.10537,5.32247,5.83485
22.0178,0.49561,3.95055,7.88195
22.0584,0.49322,3.83563,6.94579
22.0980,0.79011,3.99604,8.58348
22.1371,-1.41502,3.61057,5.91865
22.1784,-1.30967,3.37353,4.46293
22.2183,-2.23146,2.70074,2.53554
22.2658,-2.34400,0.77096,1.88190
22.3048,-0.99123,0.04789,-0.03113
22.3450,0.06465,-0.09338,-0.01676
22.3849,0.05267,-0.11493,0.00958
22.4243,0.07422,-0.11014,0.07183
22.4651,0.08619,-0.10535,0.14845
22.5043,0.12450,-0.11493,0.28013
22.5453,-22.59956,-15.45744,-15.86925
22.5860,2.58821,-5.94977,-4.55391
22.6269,0.71589,-2.62891,-0.56744
22.6655,0.87152,-2.28893,-0.53871
22.7047,1.69754,-0.26098,-5.16445
22.7451,0.59139,4.77179,-3.13171
22.7845,1.13728,0.61054,-0.31365
22.8247,3.85718,-8.97135,15.54124
22.8647,1.07024,-3.18439,2.63849
22.9054,0.38069,1.56825,4.26660
22.9453,-2.05668,-0.73504,6.00963
22.9861,0.58181,-2.26738,14.69606
23.0254,-0.68476,-0.32083,6.64411
23.0654,0.17478,-0.98405,11.31295
23.1059,-0.00479,-0.67040,9.79977
23.1465,-0.04789,-0.80687,9.79737
23.1852,-0.02873,-0.69434,9.80934
23.2246,-0.01915,-0.67758,9.78061
23.2660,0.02873,-0.75180,9.80695
23.3053,-0.03831,-0.71349,9.43344
23.3459,-0.33041,-1.05348,10.46059
23.3875,-0.15084,-0.80208,10.06553
23.4244,-0.13408,-0.71349,9.61301
23.4650,-0.13408,-0.72307,9.89554
23.5050,-0.13887,-0.70871,9.78540
23.5462,-0.13647,-0.70392,9.78061
23.5849,-0.13169,-0.69434,9.81174
23.6251,-0.12690,-0.69195,9.82850
23.6669,-0.11493,-0.71589,9.79019
23.7059,-0.09098,-0.67519,9.61301
23.7450,0.14605,-0.76377,10.27144
23.7851,0.04789,-0.62491,9.23232
23.8248,0.71828,-0.49083,10.29538
23.8652,-1.10615,-1.62571,6.96734
23.9064,2.83243,-1.52755,12.52685
23.9450,3.70873,-1.47727,10.81494
23.9862,-9.20838,-0.86194,10.98014
24.0249,1.70472,0.93856,12.17010
24.0651,-1.19714,-0.25140,11.72716
24.1054,-1.14446,-1.20432,8.52122
24.1454,-5.03995,-0.12211,10.07990
24.1850,-4.26660,-2.98327,5.65288
24.2247,-2.56906,1.01517,9.20599
24.2662,-3.65127,-0.81884,8.33686
24.3059,-4.33124,-0.44773,8.42785
24.3456,-1.92500,0.82842,9.59146
24.3855,-7.01283,-0.34956,10.63297
24.4262,-1.89866,1.92979,7.78618
